Title,video,sample,start,end,initial_code,action,difficulty_with_existing_speech_tools,tag_primary,tag_secondary,how_primary,how_secondary,location,intent,adjusted_start,adjusted_end,duration,true_duration,true_duration_unlabelled,estimated_duration,insights_and_notes
"Designing checkout UI for a bakery on Figma | Daily UI Challenge, Day 2",https://www.youtube.com/watch?v=k0fbFIAUwfA&t=1052s,1,61.28,61.29,select two objects by dragging the mouse,[drag] to [multiselect] [design objects] on [canvas] using [cursor],,,,,,,,0,1,1,<2 seconds,2,1.5,
,,,61.30,61.30,use as mask,[mask],,,,,,,,2,2,0,<1 second,1,0.5,
,,,61.31,61.31,undo,[undo],,,,,,,,3,3,0,<1 second,1,0.5,
,,,61.32,61.32,deselect,[deselect],,,,,,,,4,4,0,<1 second,1,0.5,
,,,61.33,61.33,hover over design object,[hover] over [design objects] on [canvas],,,,,,,,5,5,0,<1 second,1,0.5,
,,,61.33,61.33,hover over design object,[hover] over [design objects] on [canvas],,,,,,,,5,5,0,<1 second,1,0.5,
,,,61.33,61.33,select design object with mouse,[select] [design object] on [canvas] using [cursor],,,,,,,,5,5,0,<1 second,1,0.5,
,,,61.34,61.34,select multiple design objects with mouse,[multiselect] [design objects] on [canvas] using [cursor],,,,,,,,6,6,0,<1 second,1,0.5,
,,,61.36,61.36,use as mask,[mask],,,,,,,,8,8,0,<1 second,1,0.5,
,,,61.38,61.38,scroll layers panel,[scroll] [gui panel],,,,,,,,10,10,0,<1 second,1,0.5,
,,,61.39,61.39,select design object in layers panel,[select] [design object] on [layers panel] using [cursor],,,,,,,,11,11,0,<1 second,1,0.5,
,,,61.41,61.41,delete design object,[delete],,,,,,,,13,13,0,<1 second,1,0.5,
,,,61.42,61.42,select design object in layers panel,[select] [design object] on [layers panel] using [cursor],,,,,,,,14,14,0,<1 second,1,0.5,
,,,61.43,61.44,drag design object to new aligned position,[drag] [design object] to [new position] using [cursor] and [alignment grids],,,,,,,,15,16,1,<2 seconds,2,1.5,
,,,61.45,61.45,delete design object,[delete],,,,,,,,17,17,0,<1 second,1,0.5,
,,,61.45,61.46,pan to the side,[pan],,,,,,,,17,18,1,<2 seconds,2,1.5,
,,,61.46,61.46,pan to focus a cluster,[pan] to focus [area of interest],,,,,,,,18,18,0,<1 second,1,0.5,
,,,61.47,61.47,zoom in to focus an area of interest,[zoom] to focus [area of interest],,,,,,,,19,19,0,<1 second,1,0.5,
,,,61.48,61.48,drag to create aligned rectangle,[drag] to [create] [design object] at [new position] on [canvas] using [cursor] and [alignment grids],,,,,,,,20,20,0,<1 second,1,0.5,
,,,61.49,61.49,paste image into rectangle,[paste] into [frame],,,,,,,,21,21,0,<1 second,1,0.5,
,,,61.49,61.49,select design object,[select] [design object] on [canvas] using [cursor],,,,,,,,21,21,0,<1 second,1,0.5,
,,,61.50,61.50,deselect design object,[deselect],,,,,,,,22,22,0,<1 second,1,0.5,
,,,61.50,61.50,select design object,[select] [design object] on [canvas] using [cursor],,,,,,,,22,22,0,<1 second,1,0.5,
,,,61.50,61.55,drag design object to new position - aligned with a corner of an existing frame…,[drag] [design object] to [new position] using [cursor] and [reference object],,,,,,,,22,27,5,<6 seconds,6,5.5,
,,,61.56,61.57,drag to resize design object to 1/2 and a bit of the frame height,[drag] [design object] to [resize] using [reference object],,,,,,,,28,29,1,<2 seconds,2,1.5,
,,,61.58,61.59,drag to resize frame to match the height of reference design object,[drag] [design object] to [resize] using [reference object],,,,,,,,30,31,1,<2 seconds,2,1.5,
,,,62.00,62.00,deselect,[deselect],,,,,,,,32,32,0,<1 second,1,0.5,
,,,62.01,62.06,create text next to reference design object,[create] [text object] at [new position] on [canvas] using [reference object],,,,,,,,33,38,5,<6 seconds,6,5.5,
,,,62.06,62.06,change text from bold to regular,[update] [gui input] to [value],,,,,,,,38,38,0,<1 second,1,0.5,
,,,62.07,62.07,deselect text ,[deselect],,,,,,,,39,39,0,<1 second,1,0.5,
,,,62.08,62.08,select text,[select] [design object] on [canvas] using [cursor],,,,,,,,40,40,0,<1 second,1,0.5,
,,,62.09,62.24,update text,[update] [text object] using [keyboard],,,,,,,,41,56,15,<16 seconds,16,15.5,
,,,62.24,62.24,mistake,[mistake/redundant],,,,,,,,56,56,0,<1 second,1,0.5,
,,,62.24,62.24,select design object,[select] [design object] on [canvas] using [cursor],,,,,,,,56,56,0,<1 second,1,0.5,
,,,62.25,62.25,drag text to right hand corner of frame…,[drag] [design object] to [new position] using [cursor] and [reference object],,,,,,,,57,57,0,<1 second,1,0.5,
,,,62.25,62.28,drag text back to where it was before,[drag] [design object] to [new position] using [cursor] and [reference object],,,,,,,,57,60,3,<4 seconds,4,3.5,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
