Title,video,sample,start,end,initial_code,action,difficulty_with_existing_speech_tools,tag_primary,tag_secondary,how_primary,how_secondary,location,intent,adjusted_start,adjusted_end,duration,true_duration,true_duration_unlabelled,estimated_duration,insights_and_notes
Let's Design Music Streaming App in Figma,https://www.youtube.com/watch?v=GfVA26-Z-SE,1,10.36,10.36,,[select] [design object] on [canvas] using [cursor],,selection,,,,,,0,0,0,<1 second,1,0.5,
,,,10.37,10.37,,[multiselect] [design objects] on [canvas] using [cursor],,selection,,,,,,1,1,0,<1 second,1,0.5,
,,,10.37,10.37,,[create] [frame] from [selected],,grouping,,,,,,1,1,0,<1 second,1,0.5,
,,,10.37,10.37,,[hover] over [design objects] in [layers panel],,information revealing,,,,layers panel,,1,1,0,<1 second,1,0.5,
,,,10.38,10.38,,[collapse] [group] on [layers panel],,gui interaction,,,,layers panel,,2,2,0,<1 second,1,0.5,
,,,10.38,10.40,rename layer,[update] [design object name],,rename,,,,layers panel,,2,4,2,<3 seconds,3,2.5,
,,,10.41,10.41,,[deselect],,selection,,,,,,5,5,0,<1 second,1,0.5,
,,,10.41,10.41,hover over all design objects in layers panel,[hover] over [design objects] on [canvas],,information revealing,,,,layers panel,,5,5,0,<1 second,1,0.5,
,,,10.42,10.44,,[zoom],,navigation,,,,,,6,8,2,<3 seconds,3,2.5,
,,,10.44,10.44,,[select] [design object] on [canvas] using [cursor],,selection,,,,,,8,,,,,,
,,,10.45,10.45,,[deselect],,selection,,,,,,9,,,,,,
,,,10.46,10.46,,[zoom] to focus [design object],,navigation,,,,,,10,10,0,<1 second,1,0.5,
,,,10.48,10.50,,[click] [gui icon],,gui interaction,,,,,change figma page,12,14,2,<3 seconds,3,2.5,
,,,10.51,10.52,,[zoom] to fit context in viewport,,navigation,,,,,,15,16,1,<2 seconds,2,1.5,
,,,10.52,10.52,,[pan] to focus [design object],,navigation,,,,,,16,16,0,<1 second,1,0.5,
,,,10.53,10.53,,[zoom] to focus [design object],,navigation,,,,,,17,17,0,<1 second,1,0.5,
,,,10.53,10.55,,[multiselect] [design objects] on [canvas] using [cursor],,selection,,,,,,17,19,2,<3 seconds,3,2.5,
,,,10.55,10.55,,[zoom] to focus [selected],,navigation,,,,,,19,19,0,<1 second,1,0.5,
,,,10.57,10.57,,[zoom] to fit context in viewport,,navigation,,,,,,21,21,0,<1 second,1,0.5,
,,,10.58,10.58,,[duplicate] [selected],,copy/paste,,,,,,22,22,0,<1 second,1,0.5,
,,,10.58,10.58,,[drag] [selected] to [new position] using [cursor],,spatial positioning,,,,,,22,22,0,<1 second,1,0.5,
,,,10.58,10.59,move selected to new position outside of the current frame,[drag] [selected] to [new position] using [cursor],,spatial positioning,,,,,,22,23,1,<2 seconds,2,1.5,
,,,10.59,11.00,,[hover] over [design objects] in [layers panel],,information revealing,,,,,,23,24,1,<2 seconds,2,1.5,
,,,11.00,11.00,,[zoom] to fit context in viewport,,navigation,,,,,,24,24,0,<1 second,1,0.5,
,,,11.02,11.03,,[zoom] to focus [design object],,navigation,,,,,,26,27,1,<2 seconds,2,1.5,
,,,11.04,11.04,,[select] [design object] on [canvas] using [cursor],,selection,,,,,,28,28,0,<1 second,1,0.5,
,,,11.04,11.04,,[pan],,navigation,,,,,,28,28,0,<1 second,1,0.5,
,,,11.05,11.05,,[drag] to [multiselect] [design objects] on [canvas] using [cursor],,selection,,,,,,29,29,0,<1 second,1,0.5,
,,,11.06,11.06,,[zoom],,navigation,,,,,,30,30,0,<1 second,1,0.5,
,,,11.06,11.06,,[drag] [selected] to [new position] using [cursor],,spatial positioning,,,,,,30,30,0,<1 second,1,0.5,
,,,11.07,11.07,,[deselect],,selection,,,,,,31,31,0,<1 second,1,0.5,
,,,11.07,11.07,,[select] [design object] on [canvas] using [cursor],,selection,,,,,,31,31,0,<1 second,1,0.5,
,,,11.08,11.08,,[create] [frame] from [selected],,creating design object,,,,,,32,32,0,<1 second,1,0.5,
,,,11.09,11.09,,[zoom] to focus [selected],,navigation,,,,,,33,33,0,<1 second,1,0.5,
,,,11.09,11.10,,[drag] [design object] to [resize] ,,resize design object,,,,,,33,34,1,<2 seconds,2,1.5,
,,,11.10,11.10,,[undo],,undo,,,,,,34,34,0,<1 second,1,0.5,
